analysis,centre_winter,duration,estimate,se,lcl,ucl
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,1996.5,10,0.06885,0.06212,-0.0529,0.1906
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,1997.5,10,0.05446,0.05047,-0.04446,0.1534
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,1998.5,10,0.03413,0.04135,-0.04691,0.1152
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,1999.5,10,0.0133,0.03667,-0.05857,0.08517
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2000.5,10,-0.005119,0.03828,-0.08016,0.06992
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2001.5,10,0.001869,0.03306,-0.06293,0.06667
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2002.5,10,0.007527,0.03062,-0.05249,0.06755
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2003.5,10,0.02364,0.02846,-0.03214,0.07943
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2004.5,10,0.04677,0.03321,-0.01833,0.1119
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2005.5,10,0.05476,0.03736,-0.01846,0.128
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2006.5,10,0.05119,0.039,-0.02525,0.1276
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2007.5,10,0.03523,0.03615,-0.03563,0.1061
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2008.5,10,0.01494,0.03192,-0.04763,0.0775
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2009.5,10,-0.01287,0.02949,-0.07068,0.04493
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2010.5,10,-0.041,0.03235,-0.1044,0.02241
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2011.5,10,-0.05999,0.0361,-0.1308,0.01077
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2012.5,10,-0.07051,0.03809,-0.1452,0.00415
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2013.5,10,-0.06232,0.03331,-0.1276,0.002971
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2014.5,10,-0.04603,0.03039,-0.1056,0.01353
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2015.5,10,-0.0367,0.03044,-0.09637,0.02296
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2016.5,10,-0.03299,0.03041,-0.09259,0.02662
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2017.5,10,-0.03843,0.03094,-0.09907,0.02221
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2018.5,10,-0.04214,0.03285,-0.1065,0.02225
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2019.5,10,-0.04727,0.03633,-0.1185,0.02393
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,1997.5,12,0.04764,0.04596,-0.04243,0.1377
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,1998.5,12,0.03415,0.03754,-0.03942,0.1077
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,1999.5,12,0.01973,0.03205,-0.04307,0.08254
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2000.5,12,0.01326,0.02863,-0.04286,0.06937
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2001.5,12,0.009719,0.02716,-0.04352,0.06295
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2002.5,12,0.02097,0.02431,-0.02668,0.06862
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2003.5,12,0.03245,0.02415,-0.01488,0.07978
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2004.5,12,0.037,0.02542,-0.01282,0.08682
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2005.5,12,0.03598,0.02655,-0.01606,0.08802
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2006.5,12,0.02925,0.02658,-0.02284,0.08135
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2007.5,12,0.02237,0.0273,-0.03113,0.07588
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2008.5,12,0.008555,0.02603,-0.04247,0.05958
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2009.5,12,-0.007654,0.02427,-0.05522,0.03991
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2010.5,12,-0.02693,0.02466,-0.07526,0.0214
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2011.5,12,-0.04489,0.0275,-0.09879,0.009006
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2012.5,12,-0.05082,0.02707,-0.1039,0.002232
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2013.5,12,-0.05639,0.02777,-0.1108,-0.001959
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2014.5,12,-0.05482,0.02716,-0.1081,-0.001576
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2015.5,12,-0.04434,0.02573,-0.09477,0.006081
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2016.5,12,-0.04092,0.02603,-0.09194,0.0101
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2017.5,12,-0.04174,0.02672,-0.09411,0.01062
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2018.5,12,-0.04406,0.02899,-0.1009,0.01275
3f9eb45f42fed7358e5ed21127b49f5a7023c3a3,2008,33,-0.002316,0.009325,-0.02059,0.01596
4553b87ee3323f16cade3332954f94936ddab9de,1996.5,10,0.1138,0.05849,-0.0008441,0.2284
4553b87ee3323f16cade3332954f94936ddab9de,1997.5,10,0.1127,0.05283,0.009105,0.2162
4553b87ee3323f16cade3332954f94936ddab9de,1998.5,10,0.09643,0.04658,0.005136,0.1877
4553b87ee3323f16cade3332954f94936ddab9de,1999.5,10,0.07039,0.03739,-0.002894,0.1437
4553b87ee3323f16cade3332954f94936ddab9de,2000.5,10,0.03943,0.03385,-0.02691,0.1058
4553b87ee3323f16cade3332954f94936ddab9de,2001.5,10,0.03989,0.03161,-0.02206,0.1019
4553b87ee3323f16cade3332954f94936ddab9de,2002.5,10,0.04556,0.02963,-0.0125,0.1036
4553b87ee3323f16cade3332954f94936ddab9de,2003.5,10,0.06146,0.02795,0.006682,0.1162
4553b87ee3323f16cade3332954f94936ddab9de,2004.5,10,0.0831,0.02752,0.02917,0.137
4553b87ee3323f16cade3332954f94936ddab9de,2005.5,10,0.09068,0.02872,0.0344,0.147
4553b87ee3323f16cade3332954f94936ddab9de,2006.5,10,0.08851,0.03054,0.02866,0.1484
4553b87ee3323f16cade3332954f94936ddab9de,2007.5,10,0.07837,0.03161,0.01642,0.1403
4553b87ee3323f16cade3332954f94936ddab9de,2008.5,10,0.05951,0.03049,-0.0002487,0.1193
4553b87ee3323f16cade3332954f94936ddab9de,2009.5,10,0.02664,0.02853,-0.02928,0.08256
4553b87ee3323f16cade3332954f94936ddab9de,2010.5,10,-0.00738,0.02742,-0.06111,0.04635
4553b87ee3323f16cade3332954f94936ddab9de,2011.5,10,-0.03197,0.02724,-0.08535,0.02141
4553b87ee3323f16cade3332954f94936ddab9de,2012.5,10,-0.05285,0.02745,-0.1067,0.0009504
4553b87ee3323f16cade3332954f94936ddab9de,2013.5,10,-0.05564,0.02682,-0.1082,-0.003071
4553b87ee3323f16cade3332954f94936ddab9de,2014.5,10,-0.04654,0.02713,-0.09971,0.00663
4553b87ee3323f16cade3332954f94936ddab9de,2015.5,10,-0.04448,0.02746,-0.09829,0.009338
4553b87ee3323f16cade3332954f94936ddab9de,2016.5,10,-0.0466,0.02724,-0.09999,0.006792
4553b87ee3323f16cade3332954f94936ddab9de,2017.5,10,-0.05581,0.02761,-0.1099,-0.001699
4553b87ee3323f16cade3332954f94936ddab9de,2018.5,10,-0.06161,0.02883,-0.1181,-0.005113
4553b87ee3323f16cade3332954f94936ddab9de,2019.5,10,-0.06561,0.03096,-0.1263,-0.004926
4553b87ee3323f16cade3332954f94936ddab9de,1997.5,12,0.0982,0.04604,0.007967,0.1884
4553b87ee3323f16cade3332954f94936ddab9de,1998.5,12,0.08632,0.03937,0.00915,0.1635
4553b87ee3323f16cade3332954f94936ddab9de,1999.5,12,0.07021,0.03322,0.00511,0.1353
4553b87ee3323f16cade3332954f94936ddab9de,2000.5,12,0.06071,0.02782,0.006174,0.1152
4553b87ee3323f16cade3332954f94936ddab9de,2001.5,12,0.05041,0.02522,0.0009853,0.09984
4553b87ee3323f16cade3332954f94936ddab9de,2002.5,12,0.06044,0.02327,0.01483,0.106
4553b87ee3323f16cade3332954f94936ddab9de,2003.5,12,0.07528,0.02198,0.0322,0.1184
4553b87ee3323f16cade3332954f94936ddab9de,2004.5,12,0.07875,0.02187,0.03589,0.1216
4553b87ee3323f16cade3332954f94936ddab9de,2005.5,12,0.07307,0.02198,0.02998,0.1162
4553b87ee3323f16cade3332954f94936ddab9de,2006.5,12,0.06498,0.02272,0.02045,0.1095
4553b87ee3323f16cade3332954f94936ddab9de,2007.5,12,0.05841,0.02374,0.01189,0.1049
4553b87ee3323f16cade3332954f94936ddab9de,2008.5,12,0.04693,0.02417,-0.0004345,0.0943
4553b87ee3323f16cade3332954f94936ddab9de,2009.5,12,0.03138,0.02336,-0.01439,0.07716
4553b87ee3323f16cade3332954f94936ddab9de,2010.5,12,0.008649,0.02216,-0.03477,0.05207
4553b87ee3323f16cade3332954f94936ddab9de,2011.5,12,-0.01774,0.02153,-0.05993,0.02445
4553b87ee3323f16cade3332954f94936ddab9de,2012.5,12,-0.03489,0.02137,-0.07677,0.006988
4553b87ee3323f16cade3332954f94936ddab9de,2013.5,12,-0.05083,0.0216,-0.09316,-0.008495
4553b87ee3323f16cade3332954f94936ddab9de,2014.5,12,-0.05658,0.02175,-0.09921,-0.01395
4553b87ee3323f16cade3332954f94936ddab9de,2015.5,12,-0.04959,0.02158,-0.0919,-0.007285
4553b87ee3323f16cade3332954f94936ddab9de,2016.5,12,-0.05052,0.02189,-0.09343,-0.007606
4553b87ee3323f16cade3332954f94936ddab9de,2017.5,12,-0.05527,0.02254,-0.09944,-0.0111
4553b87ee3323f16cade3332954f94936ddab9de,2018.5,12,-0.05852,0.02405,-0.1057,-0.01138
4553b87ee3323f16cade3332954f94936ddab9de,2008,33,0.02384,0.008972,0.006251,0.04142
