analysis,centre_start,centre_end,duration,estimate,se,lcl,ucl
81876095c1e0897646ece364531e89ef8adbd9ad,1992,1993,1,0.1162,0.4161,-0.6993,0.9317
81876095c1e0897646ece364531e89ef8adbd9ad,1992,1994,1,0.06668,0.4951,-0.9037,1.037
81876095c1e0897646ece364531e89ef8adbd9ad,1992,1995,1,-0.2341,0.4695,-1.154,0.6861
81876095c1e0897646ece364531e89ef8adbd9ad,1992,1996,1,-0.3542,0.4586,-1.253,0.5447
81876095c1e0897646ece364531e89ef8adbd9ad,1992,1997,1,-0.4458,0.4767,-1.38,0.4885
81876095c1e0897646ece364531e89ef8adbd9ad,1992,1998,1,-0.4036,0.4419,-1.27,0.4625
81876095c1e0897646ece364531e89ef8adbd9ad,1992,1999,1,-0.2819,0.4572,-1.178,0.6142
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2000,1,-0.2231,0.4382,-1.082,0.6357
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2001,1,0.03225,0.4349,-0.8202,0.8847
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2002,1,-0.1731,0.4531,-1.061,0.7149
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2003,1,0.1405,0.4652,-0.7712,1.052
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2004,1,0.5046,0.4292,-0.3367,1.346
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2005,1,0.6928,0.4258,-0.1417,1.527
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2006,1,0.5885,0.4257,-0.2459,1.423
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2007,1,0.6918,0.4356,-0.162,1.546
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2008,1,0.7922,0.4252,-0.04112,1.626
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2009,1,0.6461,0.4259,-0.1887,1.481
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2010,1,0.6655,0.4277,-0.1728,1.504
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2011,1,0.5841,0.4364,-0.2713,1.44
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2012,1,0.3944,0.4302,-0.4488,1.238
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2013,1,0.1261,0.432,-0.7206,0.9728
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2014,1,-1.078,0.4587,-1.977,-0.1786
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2015,1,-1.283,0.457,-2.179,-0.3874
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2016,1,-1.614,0.469,-2.533,-0.6948
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2017,1,-1.79,0.4809,-2.733,-0.8474
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2018,1,-2.432,0.5019,-3.416,-1.449
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2019,1,-2.59,0.5177,-3.604,-1.575
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2020,1,-2.749,0.527,-3.781,-1.716
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2021,1,-2.826,0.5222,-3.85,-1.803
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2022,1,-2.835,0.5316,-3.877,-1.794
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2023,1,-2.918,0.5526,-4.001,-1.835
81876095c1e0897646ece364531e89ef8adbd9ad,1992,2024,1,-2.832,0.5995,-4.007,-1.657
81876095c1e0897646ece364531e89ef8adbd9ad,1993,1994,1,-0.04952,0.3458,-0.7272,0.6282
81876095c1e0897646ece364531e89ef8adbd9ad,1993,1995,1,-0.3503,0.3883,-1.111,0.4108
81876095c1e0897646ece364531e89ef8adbd9ad,1993,1996,1,-0.4704,0.3933,-1.241,0.3005
