analysis,centre_winter,duration,estimate,se,lcl,ucl
2a3f714fc31e5e73d9341981940805c7a1ad4454,1994,5,7.549,0.1664,7.223,7.875
2a3f714fc31e5e73d9341981940805c7a1ad4454,1995,5,7.607,0.1527,7.308,7.907
2a3f714fc31e5e73d9341981940805c7a1ad4454,1996,5,7.658,0.1524,7.359,7.957
2a3f714fc31e5e73d9341981940805c7a1ad4454,1997,5,7.744,0.1471,7.456,8.032
2a3f714fc31e5e73d9341981940805c7a1ad4454,1998,5,7.872,0.1393,7.599,8.145
2a3f714fc31e5e73d9341981940805c7a1ad4454,1999,5,7.957,0.1423,7.678,8.236
2a3f714fc31e5e73d9341981940805c7a1ad4454,2000,5,7.984,0.1431,7.704,8.265
2a3f714fc31e5e73d9341981940805c7a1ad4454,2001,5,7.994,0.1464,7.708,8.281
2a3f714fc31e5e73d9341981940805c7a1ad4454,2002,5,7.94,0.1437,7.658,8.222
2a3f714fc31e5e73d9341981940805c7a1ad4454,2003,5,7.896,0.1428,7.616,8.176
2a3f714fc31e5e73d9341981940805c7a1ad4454,2004,5,7.87,0.1439,7.588,8.152
2a3f714fc31e5e73d9341981940805c7a1ad4454,2005,5,7.768,0.1385,7.496,8.039
2a3f714fc31e5e73d9341981940805c7a1ad4454,2006,5,7.65,0.1385,7.379,7.922
2a3f714fc31e5e73d9341981940805c7a1ad4454,2007,5,7.525,0.1417,7.248,7.803
2a3f714fc31e5e73d9341981940805c7a1ad4454,2008,5,7.378,0.1541,7.076,7.68
2a3f714fc31e5e73d9341981940805c7a1ad4454,2009,5,7.263,0.1669,6.935,7.59
2a3f714fc31e5e73d9341981940805c7a1ad4454,2010,5,7.254,0.1473,6.965,7.543
2a3f714fc31e5e73d9341981940805c7a1ad4454,2011,5,7.274,0.1383,7.003,7.545
2a3f714fc31e5e73d9341981940805c7a1ad4454,2012,5,7.251,0.1399,6.976,7.525
2a3f714fc31e5e73d9341981940805c7a1ad4454,2013,5,7.163,0.1385,6.892,7.435
2a3f714fc31e5e73d9341981940805c7a1ad4454,2014,5,6.99,0.1457,6.705,7.276
2a3f714fc31e5e73d9341981940805c7a1ad4454,2015,5,6.827,0.171,6.492,7.162
2a3f714fc31e5e73d9341981940805c7a1ad4454,2016,5,6.723,0.179,6.373,7.074
2a3f714fc31e5e73d9341981940805c7a1ad4454,2017,5,6.621,0.2015,6.226,7.016
2a3f714fc31e5e73d9341981940805c7a1ad4454,2018,5,6.612,0.2024,6.215,7.008
2a3f714fc31e5e73d9341981940805c7a1ad4454,2019,5,6.747,0.1866,6.382,7.113
2a3f714fc31e5e73d9341981940805c7a1ad4454,2020,5,6.787,0.2173,6.362,7.213
2a3f714fc31e5e73d9341981940805c7a1ad4454,2021,5,6.718,0.2193,6.288,7.147
2a3f714fc31e5e73d9341981940805c7a1ad4454,2022,5,6.606,0.2251,6.165,7.047
2a3f714fc31e5e73d9341981940805c7a1ad4454,1996.5,10,7.753,0.1139,7.53,7.976
2a3f714fc31e5e73d9341981940805c7a1ad4454,1997.5,10,7.796,0.11,7.58,8.011
2a3f714fc31e5e73d9341981940805c7a1ad4454,1998.5,10,7.826,0.1092,7.612,8.04
2a3f714fc31e5e73d9341981940805c7a1ad4454,1999.5,10,7.842,0.1102,7.626,8.058
2a3f714fc31e5e73d9341981940805c7a1ad4454,2000.5,10,7.884,0.11,7.668,8.099
2a3f714fc31e5e73d9341981940805c7a1ad4454,2001.5,10,7.914,0.1147,7.689,8.138
2a3f714fc31e5e73d9341981940805c7a1ad4454,2002.5,10,7.876,0.1115,7.657,8.095
2a3f714fc31e5e73d9341981940805c7a1ad4454,2003.5,10,7.822,0.1101,7.606,8.038
2a3f714fc31e5e73d9341981940805c7a1ad4454,2004.5,10,7.733,0.1088,7.519,7.946
2a3f714fc31e5e73d9341981940805c7a1ad4454,2005.5,10,7.637,0.1111,7.419,7.855
2a3f714fc31e5e73d9341981940805c7a1ad4454,2006.5,10,7.566,0.1109,7.349,7.784
2a3f714fc31e5e73d9341981940805c7a1ad4454,2007.5,10,7.511,0.1092,7.297,7.725
2a3f714fc31e5e73d9341981940805c7a1ad4454,2008.5,10,7.462,0.1077,7.251,7.673
2a3f714fc31e5e73d9341981940805c7a1ad4454,2009.5,10,7.388,0.1076,7.177,7.599
2a3f714fc31e5e73d9341981940805c7a1ad4454,2010.5,10,7.271,0.1091,7.057,7.484
2a3f714fc31e5e73d9341981940805c7a1ad4454,2011.5,10,7.126,0.1257,6.88,7.373
2a3f714fc31e5e73d9341981940805c7a1ad4454,2012.5,10,7.041,0.1282,6.789,7.292
2a3f714fc31e5e73d9341981940805c7a1ad4454,2013.5,10,6.999,0.1195,6.764,7.233
2a3f714fc31e5e73d9341981940805c7a1ad4454,2014.5,10,6.936,0.1228,6.695,7.176
2a3f714fc31e5e73d9341981940805c7a1ad4454,2015.5,10,6.887,0.1274,6.638,7.137
2a3f714fc31e5e73d9341981940805c7a1ad4454,2016.5,10,6.869,0.1295,6.615,7.123
2a3f714fc31e5e73d9341981940805c7a1ad4454,2017.5,10,6.807,0.1405,6.532,7.083
2a3f714fc31e5e73d9341981940805c7a1ad4454,2018.5,10,6.72,0.1501,6.426,7.015
2a3f714fc31e5e73d9341981940805c7a1ad4454,2019.5,10,6.614,0.1703,6.28,6.947
967acb7f6529bf3cdee16be634096ac5099d155d,1994,5,6.348,0.1432,6.067,6.629
967acb7f6529bf3cdee16be634096ac5099d155d,1995,5,6.413,0.1295,6.16,6.667
967acb7f6529bf3cdee16be634096ac5099d155d,1996,5,6.455,0.1261,6.207,6.702
967acb7f6529bf3cdee16be634096ac5099d155d,1997,5,6.494,0.1251,6.248,6.739
967acb7f6529bf3cdee16be634096ac5099d155d,1998,5,6.542,0.1236,6.3,6.785
967acb7f6529bf3cdee16be634096ac5099d155d,1999,5,6.588,0.1229,6.347,6.829
967acb7f6529bf3cdee16be634096ac5099d155d,2000,5,6.619,0.1232,6.378,6.861
967acb7f6529bf3cdee16be634096ac5099d155d,2001,5,6.656,0.1241,6.413,6.899
967acb7f6529bf3cdee16be634096ac5099d155d,2002,5,6.674,0.1249,6.429,6.919
967acb7f6529bf3cdee16be634096ac5099d155d,2003,5,6.67,0.1246,6.426,6.914
967acb7f6529bf3cdee16be634096ac5099d155d,2004,5,6.662,0.1246,6.418,6.906
967acb7f6529bf3cdee16be634096ac5099d155d,2005,5,6.623,0.1229,6.382,6.864
967acb7f6529bf3cdee16be634096ac5099d155d,2006,5,6.558,0.1213,6.32,6.795
967acb7f6529bf3cdee16be634096ac5099d155d,2007,5,6.478,0.1222,6.238,6.717
967acb7f6529bf3cdee16be634096ac5099d155d,2008,5,6.417,0.1231,6.176,6.659
967acb7f6529bf3cdee16be634096ac5099d155d,2009,5,6.359,0.1241,6.115,6.602
967acb7f6529bf3cdee16be634096ac5099d155d,2010,5,6.331,0.1218,6.093,6.57
