winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,1247,1183,1191,1203,1218,1309,1359,1566,2021,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
1993,1879,1877,1877,1877,1877,1884,1893,1906,1917,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
1994,1956,1956,1956,1956,1956,1956,1956,1961,1987,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
1995,1316,1316,1316,1316,1316,1318,1322,1340,1364,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
1996,2484,2484,2484,2484,2484,2484,2490,2502,2537,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
1997,1130,1130,1130,1130,1130,1130,1130,1130,1130,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
1998,1585,1583,1583,1583,1583,1589,1595,1606,1627,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
1999,2164,2134,2134,2141,2152,2180,2207,2309,2462,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2000,1919,1914,1914,1914,1915,1923,1934,1954,2032,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2001,1924,1915,1915,1918,1921,1932,1939,1956,1999,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2002,1353,1350,1350,1350,1351,1360,1367,1380,1402,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2003,1650,1634,1634,1636,1640,1661,1676,1761,1999,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2004,2105,2104,2104,2104,2104,2108,2113,2125,2160,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2005,1860,1848,1848,1848,1852,1873,1904,1946,2191,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2006,1460,1451,1451,1454,1457,1464,1469,1487,1496,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2007,1529,1529,1529,1529,1529,1529,1529,1529,1529,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2008,394,394,394,394,394,394,394,394,394,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2009,375,375,375,375,375,375,375,375,375,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2010,376,376,376,376,376,376,376,376.2,525,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2011,682,682,682,682,682,682,682,682,682,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2012,473,473,473,473,473,473,473,473,473,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2013,410.5,409,409,409,409,412,414.2,427,441,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2014,613,610,610,610,610.6,616,619,632.1,653,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2015,652,652,652,652,652,652,652,652,652,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2016,621,621,621,621,621,621,621,621,621,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2017,464,464,464,464,464,464,464,464,464,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2018,317,309,309,309.8,312,324.7,333,349,362,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2019,402,402,402,402,402,402,402,402,402,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2020,270,270,270,270,270,270,270,273.3,483,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2021,456,456,456,456,456,456,456,456,500,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2022,343,304,305,310.8,324,370.5,428.8,653.5,818,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2023,533,533,533,533,533,533,533,533,761,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
2024,365,362,362,362,362,372.4,381,404,461,85fdda7937e1d44bcfdc292218a9ffa3fad0060b
