analysis,winter,estimate,se,lcl,ucl
0c105bd2cef1641e9c344a1b2ae1fdbc2779becf,2002,4.694,0.7586,3.207,6.181
0c105bd2cef1641e9c344a1b2ae1fdbc2779becf,2003,4.069,0.6801,2.736,5.402
0c105bd2cef1641e9c344a1b2ae1fdbc2779becf,2004,3.482,0.7644,1.984,4.98
0c105bd2cef1641e9c344a1b2ae1fdbc2779becf,2005,2.962,0.8901,1.218,4.707
0c105bd2cef1641e9c344a1b2ae1fdbc2779becf,2006,2.527,0.9835,0.599,4.454
0c105bd2cef1641e9c344a1b2ae1fdbc2779becf,2007,2.18,1.026,0.1694,4.19
0c105bd2cef1641e9c344a1b2ae1fdbc2779becf,2008,1.916,1.026,-0.09514,3.926
0c105bd2cef1641e9c344a1b2ae1fdbc2779becf,2009,1.716,1.006,-0.2553,3.686
0c105bd2cef1641e9c344a1b2ae1fdbc2779becf,2010,1.586,0.9534,-0.283,3.454
0c105bd2cef1641e9c344a1b2ae1fdbc2779becf,2011,1.521,0.8712,-0.1865,3.229
0c105bd2cef1641e9c344a1b2ae1fdbc2779becf,2012,1.506,0.7743,-0.01124,3.024
0c105bd2cef1641e9c344a1b2ae1fdbc2779becf,2013,1.52,0.6834,0.1806,2.859
0c105bd2cef1641e9c344a1b2ae1fdbc2779becf,2014,1.559,0.602,0.3788,2.739
0c105bd2cef1641e9c344a1b2ae1fdbc2779becf,2015,1.608,0.5498,0.5304,2.686
0c105bd2cef1641e9c344a1b2ae1fdbc2779becf,2016,1.642,0.5555,0.5529,2.731
0c105bd2cef1641e9c344a1b2ae1fdbc2779becf,2017,1.623,0.6321,0.384,2.862
0c105bd2cef1641e9c344a1b2ae1fdbc2779becf,2018,1.581,0.7621,0.0869,3.074
0c105bd2cef1641e9c344a1b2ae1fdbc2779becf,2019,1.532,0.9389,-0.3082,3.372
0c105bd2cef1641e9c344a1b2ae1fdbc2779becf,2020,1.483,1.165,-0.8003,3.767
4b2379c4c05468b8d27d51b44c4505706fe15152,2002,-7.694,2.58,-12.75,-2.636
4b2379c4c05468b8d27d51b44c4505706fe15152,2003,-7.885,2.556,-12.89,-2.875
4b2379c4c05468b8d27d51b44c4505706fe15152,2004,-8.069,2.542,-13.05,-3.085
4b2379c4c05468b8d27d51b44c4505706fe15152,2005,-8.241,2.535,-13.21,-3.272
4b2379c4c05468b8d27d51b44c4505706fe15152,2006,-8.399,2.531,-13.36,-3.439
4b2379c4c05468b8d27d51b44c4505706fe15152,2007,-8.546,2.528,-13.5,-3.591
4b2379c4c05468b8d27d51b44c4505706fe15152,2008,-8.686,2.527,-13.64,-3.734
4b2379c4c05468b8d27d51b44c4505706fe15152,2009,-8.826,2.527,-13.78,-3.874
4b2379c4c05468b8d27d51b44c4505706fe15152,2010,-8.963,2.528,-13.92,-4.008
4b2379c4c05468b8d27d51b44c4505706fe15152,2011,-9.093,2.529,-14.05,-4.136
4b2379c4c05468b8d27d51b44c4505706fe15152,2012,-9.218,2.531,-14.18,-4.258
4b2379c4c05468b8d27d51b44c4505706fe15152,2013,-9.335,2.533,-14.3,-4.371
4b2379c4c05468b8d27d51b44c4505706fe15152,2014,-9.446,2.536,-14.42,-4.475
4b2379c4c05468b8d27d51b44c4505706fe15152,2015,-9.553,2.542,-14.54,-4.57
4b2379c4c05468b8d27d51b44c4505706fe15152,2016,-9.661,2.553,-14.66,-4.658
4b2379c4c05468b8d27d51b44c4505706fe15152,2017,-9.779,2.568,-14.81,-4.745
4b2379c4c05468b8d27d51b44c4505706fe15152,2018,-9.901,2.591,-14.98,-4.823
4b2379c4c05468b8d27d51b44c4505706fe15152,2019,-10.02,2.621,-15.16,-4.886
4b2379c4c05468b8d27d51b44c4505706fe15152,2020,-10.15,2.662,-15.36,-4.929
57704776f377a224d1c03aab0953b903c4544d3a,2002,-7.989,2.673,-13.23,-2.75
57704776f377a224d1c03aab0953b903c4544d3a,2003,-8.525,2.574,-13.57,-3.48
57704776f377a224d1c03aab0953b903c4544d3a,2004,-9.016,2.678,-14.26,-3.767
57704776f377a224d1c03aab0953b903c4544d3a,2005,-9.257,2.76,-14.67,-3.846
57704776f377a224d1c03aab0953b903c4544d3a,2006,-9.293,2.748,-14.68,-3.908
57704776f377a224d1c03aab0953b903c4544d3a,2007,-9.124,2.647,-14.31,-3.935
57704776f377a224d1c03aab0953b903c4544d3a,2008,-8.701,2.561,-13.72,-3.682
57704776f377a224d1c03aab0953b903c4544d3a,2009,-9.158,2.62,-14.29,-4.023
57704776f377a224d1c03aab0953b903c4544d3a,2010,-9.346,2.656,-14.55,-4.14
57704776f377a224d1c03aab0953b903c4544d3a,2011,-9.294,2.609,-14.41,-4.18
57704776f377a224d1c03aab0953b903c4544d3a,2012,-9.405,2.598,-14.5,-4.313
57704776f377a224d1c03aab0953b903c4544d3a,2013,-9.649,2.693,-14.93,-4.371
57704776f377a224d1c03aab0953b903c4544d3a,2014,-9.683,2.705,-14.99,-4.381
57704776f377a224d1c03aab0953b903c4544d3a,2015,-9.515,2.633,-14.67,-4.355
57704776f377a224d1c03aab0953b903c4544d3a,2016,-9.101,2.565,-14.13,-4.073
57704776f377a224d1c03aab0953b903c4544d3a,2017,-9.52,2.629,-14.67,-4.368
57704776f377a224d1c03aab0953b903c4544d3a,2018,-9.684,2.678,-14.93,-4.436
57704776f377a224d1c03aab0953b903c4544d3a,2019,-9.624,2.644,-14.81,-4.442
57704776f377a224d1c03aab0953b903c4544d3a,2020,-9.57,2.648,-14.76,-4.38
6b01c8f8525dbee3f70424babab172dbd3344d3f,2002,6.031,0.2512,5.539,6.524
6b01c8f8525dbee3f70424babab172dbd3344d3f,2003,2.198,0.4276,1.359,3.036
6b01c8f8525dbee3f70424babab172dbd3344d3f,2004,-1.422,1.34,-4.047,1.203
6b01c8f8525dbee3f70424babab172dbd3344d3f,2005,-2.638,1.713,-5.995,0.7182
6b01c8f8525dbee3f70424babab172dbd3344d3f,2006,-2.676,1.713,-6.034,0.6828
6b01c8f8525dbee3f70424babab172dbd3344d3f,2007,-1.557,1.34,-4.183,1.07
6b01c8f8525dbee3f70424babab172dbd3344d3f,2008,1.786,0.4542,0.896,2.676
6b01c8f8525dbee3f70424babab172dbd3344d3f,2009,-1.299,1.262,-3.773,1.174
6b01c8f8525dbee3f70424babab172dbd3344d3f,2010,-1.75,1.392,-4.479,0.9787
6b01c8f8525dbee3f70424babab172dbd3344d3f,2011,-0.2233,0.8801,-1.948,1.502
6b01c8f8525dbee3f70424babab172dbd3344d3f,2012,1.682,0.4663,0.7676,2.595
6b01c8f8525dbee3f70424babab172dbd3344d3f,2013,-1.399,1.302,-3.951,1.153
