analysis,centre_winter,duration,estimate,se,lcl,ucl
6344e7925da79ede138946999161a6b868cf459f,2004.5,10,-0.13,0.0841,-0.2948,0.03485
6344e7925da79ede138946999161a6b868cf459f,2005.5,10,-0.1638,0.08844,-0.3371,0.009536
6344e7925da79ede138946999161a6b868cf459f,2006.5,10,-0.1719,0.0903,-0.3489,0.005072
6344e7925da79ede138946999161a6b868cf459f,2007.5,10,-0.1696,0.09013,-0.3462,0.007094
6344e7925da79ede138946999161a6b868cf459f,2008.5,10,-0.1567,0.09037,-0.3338,0.02041
6344e7925da79ede138946999161a6b868cf459f,2009.5,10,-0.1338,0.08651,-0.3034,0.0357
6344e7925da79ede138946999161a6b868cf459f,2010.5,10,-0.08521,0.07672,-0.2356,0.06517
6344e7925da79ede138946999161a6b868cf459f,2011.5,10,-0.001036,0.06948,-0.1372,0.1351
6344e7925da79ede138946999161a6b868cf459f,2012.5,10,0.09504,0.07799,-0.05782,0.2479
6344e7925da79ede138946999161a6b868cf459f,2013.5,10,0.1524,0.0897,-0.02337,0.3283
6344e7925da79ede138946999161a6b868cf459f,2014.5,10,0.1882,0.09835,-0.004533,0.381
6344e7925da79ede138946999161a6b868cf459f,2015.5,10,0.1968,0.0979,0.004877,0.3886
6344e7925da79ede138946999161a6b868cf459f,2016.5,10,0.202,0.09847,0.009013,0.395
6344e7925da79ede138946999161a6b868cf459f,2017.5,10,0.1805,0.09162,0.0009498,0.3601
6344e7925da79ede138946999161a6b868cf459f,2018.5,10,0.1451,0.07947,-0.01064,0.3009
6344e7925da79ede138946999161a6b868cf459f,2019.5,10,0.09995,0.07454,-0.04614,0.246
6344e7925da79ede138946999161a6b868cf459f,2005.5,12,-0.1507,0.07789,-0.3034,0.001942
6344e7925da79ede138946999161a6b868cf459f,2006.5,12,-0.1629,0.07899,-0.3177,-0.00807
6344e7925da79ede138946999161a6b868cf459f,2007.5,12,-0.1585,0.07947,-0.3142,-0.002717
6344e7925da79ede138946999161a6b868cf459f,2008.5,12,-0.1367,0.07487,-0.2835,0.01003
6344e7925da79ede138946999161a6b868cf459f,2009.5,12,-0.09388,0.06494,-0.2212,0.0334
6344e7925da79ede138946999161a6b868cf459f,2010.5,12,-0.04946,0.0573,-0.1618,0.06285
6344e7925da79ede138946999161a6b868cf459f,2011.5,12,0.00889,0.05322,-0.09543,0.1132
6344e7925da79ede138946999161a6b868cf459f,2012.5,12,0.06835,0.06067,-0.05056,0.1873
6344e7925da79ede138946999161a6b868cf459f,2013.5,12,0.1173,0.07032,-0.02056,0.2551
6344e7925da79ede138946999161a6b868cf459f,2014.5,12,0.1486,0.07667,-0.001662,0.2989
