winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2000,January,314,302,302,302,306.6,331,379.6,474.4,879,27d696d2ca50e1ec04577afe37709c143781aa40
2000,March,281.5,261,261,262.8,268,299,347.4,419,818,27d696d2ca50e1ec04577afe37709c143781aa40
2000,October,715,715,715,715,715,716,721,770.7,888,27d696d2ca50e1ec04577afe37709c143781aa40
2000,November,1251,1244,1244,1245,1248,1257,1262,1284,1376,27d696d2ca50e1ec04577afe37709c143781aa40
2000,December,398.5,377,381,386,389.6,409,420.8,459,526,27d696d2ca50e1ec04577afe37709c143781aa40
2000,NA,361,360,360,360,360,363,368.2,382.6,431,27d696d2ca50e1ec04577afe37709c143781aa40
2001,January,236.5,225,225,226,228,259.7,309,425.6,660,27d696d2ca50e1ec04577afe37709c143781aa40
2001,March,143.5,129,129,131,134,157.8,199.8,319.2,406,27d696d2ca50e1ec04577afe37709c143781aa40
2001,October,162.5,156,156,156,159,173.4,192.8,244.2,417,27d696d2ca50e1ec04577afe37709c143781aa40
2001,November,244.5,219,220,224.8,233,259.4,294,344.5,712,27d696d2ca50e1ec04577afe37709c143781aa40
2001,December,275.5,259,259,260.8,263,310.4,339.4,487.1,843,27d696d2ca50e1ec04577afe37709c143781aa40
2001,NA,110,97,97,97.8,101,137.7,171.4,281.5,489,27d696d2ca50e1ec04577afe37709c143781aa40
2002,January,367,343,343,343,346.3,387.8,431.4,573.6,913,27d696d2ca50e1ec04577afe37709c143781aa40
2002,March,313,306,306,307,309.6,325,348.4,405,621,27d696d2ca50e1ec04577afe37709c143781aa40
2002,October,203,198,198,198,199,214,251.6,333.1,678,27d696d2ca50e1ec04577afe37709c143781aa40
2002,November,293.5,277,277,278,281,311.4,338,421.6,547,27d696d2ca50e1ec04577afe37709c143781aa40
2002,December,223.5,209,209,212,216,239.4,268.6,368.7,479,27d696d2ca50e1ec04577afe37709c143781aa40
2002,NA,126,111,111,111,115,144.4,182.8,284.5,350,27d696d2ca50e1ec04577afe37709c143781aa40
2003,January,461.5,454,454,454,455,471.7,512.2,647.6,1035,27d696d2ca50e1ec04577afe37709c143781aa40
2003,March,169,139,146.9,155,163.6,181,194.4,226.3,261,27d696d2ca50e1ec04577afe37709c143781aa40
2003,October,371.5,368,368,368,368,378,414,509.4,606,27d696d2ca50e1ec04577afe37709c143781aa40
2003,November,279,273,273,273,274.6,289.4,315.8,401.8,794,27d696d2ca50e1ec04577afe37709c143781aa40
2003,December,406,390,390,391,394,413,432.4,499,741,27d696d2ca50e1ec04577afe37709c143781aa40
2003,NA,454,454,454,454,454,454,454,454,454,27d696d2ca50e1ec04577afe37709c143781aa40
2004,January,125,125,125,125,125,125,126,128,136,27d696d2ca50e1ec04577afe37709c143781aa40
2004,March,80,80,80,80,80,80,80,80,80,27d696d2ca50e1ec04577afe37709c143781aa40
2004,October,92,92,92,92,92,92,92,92,92,27d696d2ca50e1ec04577afe37709c143781aa40
2004,November,59,59,59,59,59,59,59,59,59,27d696d2ca50e1ec04577afe37709c143781aa40
