analysis,centre_start,centre_end,duration,estimate,se,lcl,ucl
10e515243aa4f13bd882f520c20c9fafae605de2,1992,1993,1,0.2537,0.3113,-0.3565,0.8639
10e515243aa4f13bd882f520c20c9fafae605de2,1992,1994,1,0.4303,0.3897,-0.3334,1.194
10e515243aa4f13bd882f520c20c9fafae605de2,1992,1995,1,0.6038,0.4319,-0.2427,1.45
10e515243aa4f13bd882f520c20c9fafae605de2,1992,1996,1,0.7735,0.4654,-0.1386,1.686
10e515243aa4f13bd882f520c20c9fafae605de2,1992,1997,1,0.71,0.4324,-0.1374,1.557
10e515243aa4f13bd882f520c20c9fafae605de2,1992,1998,1,0.9576,0.4731,0.03032,1.885
10e515243aa4f13bd882f520c20c9fafae605de2,1992,1999,1,1.188,0.5351,0.1396,2.237
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2000,1,1.058,0.499,0.08022,2.036
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2001,1,0.8681,0.4695,-0.05201,1.788
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2002,1,0.8161,0.4952,-0.1545,1.787
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2003,1,0.4305,0.4367,-0.4254,1.286
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2004,1,0.1916,0.4313,-0.6537,1.037
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2005,1,0.2785,0.4428,-0.5894,1.146
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2006,1,0.3892,0.4768,-0.5452,1.324
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2007,1,0.3928,0.4916,-0.5708,1.356
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2008,1,0.2853,0.4848,-0.6648,1.235
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2009,1,0.1497,0.4813,-0.7936,1.093
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2010,1,-0.08693,0.4566,-0.9819,0.8081
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2011,1,-0.1601,0.4761,-1.093,0.773
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2012,1,-0.4017,0.4541,-1.292,0.4883
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2013,1,-0.486,0.4715,-1.41,0.4382
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2014,1,-0.8717,0.44,-1.734,-0.009256
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2015,1,-0.8686,0.4463,-1.743,0.006165
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2016,1,-0.9116,0.4493,-1.792,-0.03103
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2017,1,-0.7582,0.4997,-1.738,0.2212
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2018,1,-1.116,0.4484,-1.995,-0.2371
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2019,1,-1.201,0.4572,-2.097,-0.3048
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2020,1,-1.153,0.4894,-2.112,-0.1937
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2021,1,-1.076,0.5055,-2.067,-0.08575
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2022,1,-0.9795,0.536,-2.03,0.07096
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2023,1,-0.9543,0.5484,-2.029,0.1206
10e515243aa4f13bd882f520c20c9fafae605de2,1992,2024,1,-0.8816,0.5388,-1.938,0.1744
10e515243aa4f13bd882f520c20c9fafae605de2,1993,1994,1,0.1767,0.2552,-0.3235,0.677
10e515243aa4f13bd882f520c20c9fafae605de2,1993,1995,1,0.3503,0.3144,-0.266,0.9666
10e515243aa4f13bd882f520c20c9fafae605de2,1993,1996,1,0.5199,0.3462,-0.1586,1.199
10e515243aa4f13bd882f520c20c9fafae605de2,1993,1997,1,0.4566,0.3611,-0.2512,1.164
10e515243aa4f13bd882f520c20c9fafae605de2,1993,1998,1,0.7042,0.3668,-0.01482,1.423
10e515243aa4f13bd882f520c20c9fafae605de2,1993,1999,1,0.9348,0.4057,0.1396,1.73
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2000,1,0.8048,0.3845,0.05124,1.558
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2001,1,0.6148,0.3725,-0.1154,1.345
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2002,1,0.5626,0.3787,-0.1796,1.305
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2003,1,0.1772,0.3706,-0.5492,0.9036
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2004,1,-0.0618,0.3991,-0.8439,0.7203
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2005,1,0.02511,0.3663,-0.6929,0.7431
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2006,1,0.1358,0.3715,-0.5924,0.8639
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2007,1,0.1393,0.3799,-0.6053,0.8839
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2008,1,0.03189,0.3779,-0.7088,0.7725
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2009,1,-0.1037,0.3759,-0.8404,0.6329
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2010,1,-0.3403,0.3727,-1.071,0.3902
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2011,1,-0.4135,0.3732,-1.145,0.318
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2012,1,-0.6551,0.3726,-1.385,0.07526
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2013,1,-0.7394,0.3717,-1.468,-0.01101
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2014,1,-1.125,0.406,-1.921,-0.3295
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2015,1,-1.122,0.38,-1.867,-0.3773
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2016,1,-1.165,0.381,-1.912,-0.4184
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2017,1,-1.012,0.3864,-1.769,-0.2545
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2018,1,-1.369,0.4002,-2.154,-0.5849
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2019,1,-1.454,0.4163,-2.27,-0.6383
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2020,1,-1.406,0.4408,-2.27,-0.5423
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2021,1,-1.33,0.4441,-2.2,-0.4594
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2022,1,-1.233,0.4654,-2.145,-0.3209
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2023,1,-1.208,0.476,-2.141,-0.2746
10e515243aa4f13bd882f520c20c9fafae605de2,1993,2024,1,-1.135,0.4532,-2.023,-0.2467
10e515243aa4f13bd882f520c20c9fafae605de2,1994,1995,1,0.1736,0.2491,-0.3146,0.6618
10e515243aa4f13bd882f520c20c9fafae605de2,1994,1996,1,0.3434,0.3033,-0.2511,0.9378
10e515243aa4f13bd882f520c20c9fafae605de2,1994,1997,1,0.2799,0.3397,-0.3858,0.9457
10e515243aa4f13bd882f520c20c9fafae605de2,1994,1998,1,0.5276,0.3372,-0.1334,1.189
10e515243aa4f13bd882f520c20c9fafae605de2,1994,1999,1,0.7583,0.3696,0.0339,1.483
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2000,1,0.6283,0.354,-0.06563,1.322
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2001,1,0.4382,0.349,-0.2458,1.122
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2002,1,0.386,0.3506,-0.3012,1.073
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2003,1,0.0005159,0.3601,-0.7053,0.7063
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2004,1,-0.2385,0.398,-1.019,0.5416
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2005,1,-0.1515,0.3534,-0.8441,0.541
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2006,1,-0.04081,0.348,-0.7229,0.6413
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2007,1,-0.03727,0.3532,-0.7295,0.655
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2008,1,-0.1447,0.3526,-0.8358,0.5464
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2009,1,-0.2803,0.3516,-0.9694,0.4088
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2010,1,-0.5169,0.3556,-1.214,0.1801
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2011,1,-0.5901,0.3511,-1.278,0.09795
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2012,1,-0.8317,0.3577,-1.533,-0.1307
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2013,1,-0.9161,0.3521,-1.606,-0.2259
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2014,1,-1.302,0.4053,-2.096,-0.5074
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2015,1,-1.299,0.3715,-2.027,-0.5704
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2016,1,-1.342,0.3714,-2.07,-0.6137
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2017,1,-1.188,0.3628,-1.899,-0.4774
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2018,1,-1.546,0.3967,-2.324,-0.7686
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2019,1,-1.631,0.4151,-2.445,-0.8174
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2020,1,-1.583,0.4369,-2.439,-0.7266
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2021,1,-1.507,0.4363,-2.362,-0.6515
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2022,1,-1.41,0.4543,-2.3,-0.5192
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2023,1,-1.384,0.4639,-2.293,-0.4751
10e515243aa4f13bd882f520c20c9fafae605de2,1994,2024,1,-1.312,0.4364,-2.167,-0.4562
10e515243aa4f13bd882f520c20c9fafae605de2,1995,1996,1,0.1698,0.2465,-0.3133,0.6529
10e515243aa4f13bd882f520c20c9fafae605de2,1995,1997,1,0.1063,0.3194,-0.5196,0.7323
10e515243aa4f13bd882f520c20c9fafae605de2,1995,1998,1,0.3541,0.3154,-0.264,0.9722
10e515243aa4f13bd882f520c20c9fafae605de2,1995,1999,1,0.5848,0.344,-0.08946,1.259
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2000,1,0.4548,0.3353,-0.2024,1.112
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2001,1,0.2647,0.3374,-0.3965,0.9259
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2002,1,0.2125,0.3351,-0.4442,0.8692
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2003,1,-0.1731,0.36,-0.8786,0.5325
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2004,1,-0.4121,0.4049,-1.206,0.3815
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2005,1,-0.3251,0.3514,-1.014,0.3637
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2006,1,-0.2143,0.337,-0.8749,0.4462
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2007,1,-0.2108,0.3392,-0.8757,0.4541
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2008,1,-0.3182,0.34,-0.9845,0.3481
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2009,1,-0.4538,0.3399,-1.12,0.2123
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2010,1,-0.6905,0.3503,-1.377,-0.003798
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2011,1,-0.7636,0.3413,-1.433,-0.0947
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2012,1,-1.005,0.3541,-1.699,-0.3112
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2013,1,-1.09,0.3447,-1.765,-0.414
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2014,1,-1.475,0.4126,-2.284,-0.6667
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2015,1,-1.472,0.3732,-2.204,-0.7408
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2016,1,-1.515,0.3722,-2.245,-0.7858
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2017,1,-1.362,0.3515,-2.051,-0.673
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2018,1,-1.72,0.4018,-2.507,-0.9321
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2019,1,-1.805,0.4219,-2.632,-0.9776
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2020,1,-1.756,0.4412,-2.621,-0.8917
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2021,1,-1.68,0.4373,-2.537,-0.823
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2022,1,-1.583,0.4518,-2.469,-0.6976
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2023,1,-1.558,0.4601,-2.459,-0.6561
10e515243aa4f13bd882f520c20c9fafae605de2,1995,2024,1,-1.485,0.4295,-2.327,-0.6433
10e515243aa4f13bd882f520c20c9fafae605de2,1996,1997,1,-0.06364,0.2845,-0.6212,0.4939
10e515243aa4f13bd882f520c20c9fafae605de2,1996,1998,1,0.1843,0.287,-0.3783,0.7469
10e515243aa4f13bd882f520c20c9fafae605de2,1996,1999,1,0.4151,0.3128,-0.198,1.028
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2000,1,0.2851,0.3172,-0.3367,0.9068
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2001,1,0.09494,0.3305,-0.5528,0.7427
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2002,1,0.04279,0.3203,-0.5849,0.6705
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2003,1,-0.3428,0.3674,-1.063,0.3772
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2004,1,-0.5819,0.4214,-1.408,0.244
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2005,1,-0.4948,0.356,-1.193,0.203
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2006,1,-0.3841,0.3295,-1.03,0.2617
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2007,1,-0.3805,0.3279,-1.023,0.2622
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2008,1,-0.4879,0.331,-1.137,0.1608
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2009,1,-0.6236,0.3319,-1.274,0.02693
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2010,1,-0.8602,0.3517,-1.549,-0.1709
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2011,1,-0.9334,0.3351,-1.59,-0.2765
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2012,1,-1.175,0.3569,-1.874,-0.4756
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2013,1,-1.259,0.3405,-1.927,-0.5919
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2014,1,-1.645,0.4288,-2.486,-0.8048
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2015,1,-1.642,0.3812,-2.389,-0.8948
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2016,1,-1.685,0.3795,-2.429,-0.9412
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2017,1,-1.532,0.3407,-2.199,-0.8638
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2018,1,-1.889,0.4146,-2.702,-1.077
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2019,1,-1.974,0.4363,-2.829,-1.119
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2020,1,-1.926,0.4523,-2.813,-1.04
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2021,1,-1.85,0.4438,-2.72,-0.9799
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2022,1,-1.753,0.453,-2.641,-0.865
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2023,1,-1.728,0.4592,-2.628,-0.8276
10e515243aa4f13bd882f520c20c9fafae605de2,1996,2024,1,-1.655,0.4253,-2.488,-0.8212
10e515243aa4f13bd882f520c20c9fafae605de2,1997,1998,1,0.2479,0.2745,-0.2902,0.7859
10e515243aa4f13bd882f520c20c9fafae605de2,1997,1999,1,0.4789,0.3734,-0.2529,1.211
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2000,1,0.3485,0.3581,-0.3532,1.05
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2001,1,0.1583,0.348,-0.5238,0.8404
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2002,1,0.1063,0.3714,-0.6216,0.8342
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2003,1,-0.2795,0.3531,-0.9716,0.4126
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2004,1,-0.5184,0.3771,-1.258,0.2206
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2005,1,-0.4315,0.3549,-1.127,0.2641
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2006,1,-0.3207,0.3653,-1.037,0.3953
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2007,1,-0.3171,0.3734,-1.049,0.4147
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2008,1,-0.4245,0.369,-1.148,0.2987
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2009,1,-0.5602,0.3681,-1.282,0.1613
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2010,1,-0.7969,0.3593,-1.501,-0.09265
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2011,1,-0.87,0.3689,-1.593,-0.147
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2012,1,-1.112,0.3633,-1.824,-0.3997
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2013,1,-1.196,0.372,-1.925,-0.4669
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2014,1,-1.582,0.3909,-2.348,-0.8155
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2015,1,-1.579,0.3748,-2.313,-0.8441
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2016,1,-1.622,0.3743,-2.355,-0.888
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2017,1,-1.468,0.3933,-2.239,-0.6973
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2018,1,-1.826,0.3909,-2.592,-1.06
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2019,1,-1.911,0.4078,-2.71,-1.112
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2020,1,-1.863,0.4336,-2.713,-1.013
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2021,1,-1.786,0.4398,-2.648,-0.9245
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2022,1,-1.689,0.465,-2.601,-0.7781
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2023,1,-1.664,0.4761,-2.597,-0.7311
10e515243aa4f13bd882f520c20c9fafae605de2,1997,2024,1,-1.592,0.4521,-2.478,-0.7054
10e515243aa4f13bd882f520c20c9fafae605de2,1998,1999,1,0.231,0.2651,-0.2885,0.7505
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2000,1,0.1008,0.2942,-0.4758,0.6774
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2001,1,-0.08938,0.3161,-0.709,0.5302
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2002,1,-0.1415,0.3196,-0.7679,0.4848
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2003,1,-0.5271,0.3603,-1.233,0.179
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2004,1,-0.7662,0.4119,-1.573,0.04116
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2005,1,-0.6791,0.3535,-1.372,0.0138
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2006,1,-0.5684,0.332,-1.219,0.08235
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2007,1,-0.5648,0.3313,-1.214,0.08444
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2008,1,-0.6722,0.333,-1.325,-0.01963
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2009,1,-0.8079,0.3343,-1.463,-0.1527
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2010,1,-1.044,0.3499,-1.73,-0.3587
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2011,1,-1.118,0.3388,-1.782,-0.4537
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2012,1,-1.359,0.3566,-2.058,-0.6605
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2013,1,-1.444,0.3458,-2.121,-0.766
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2014,1,-1.829,0.4234,-2.659,-0.9996
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2015,1,-1.826,0.3814,-2.574,-1.079
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2016,1,-1.869,0.3793,-2.613,-1.126
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2017,1,-1.716,0.3504,-2.403,-1.029
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2018,1,-2.074,0.4121,-2.881,-1.266
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2019,1,-2.159,0.4337,-3.009,-1.309
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2020,1,-2.11,0.4508,-2.994,-1.227
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2021,1,-2.034,0.4444,-2.905,-1.163
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2022,1,-1.937,0.4559,-2.831,-1.044
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2023,1,-1.912,0.4621,-2.818,-1.006
10e515243aa4f13bd882f520c20c9fafae605de2,1998,2024,1,-1.839,0.429,-2.68,-0.9984
10e515243aa4f13bd882f520c20c9fafae605de2,1999,2000,1,-0.1302,0.2475,-0.6153,0.355
10e515243aa4f13bd882f520c20c9fafae605de2,1999,2001,1,-0.3204,0.3179,-0.9434,0.3026
10e515243aa4f13bd882f520c20c9fafae605de2,1999,2002,1,-0.3723,0.3035,-0.9671,0.2224
10e515243aa4f13bd882f520c20c9fafae605de2,1999,2003,1,-0.7581,0.4014,-1.545,0.0286
10e515243aa4f13bd882f520c20c9fafae605de2,1999,2004,1,-0.9973,0.4728,-1.924,-0.0706
10e515243aa4f13bd882f520c20c9fafae605de2,1999,2005,1,-0.91,0.389,-1.672,-0.1476
10e515243aa4f13bd882f520c20c9fafae605de2,1999,2006,1,-0.7991,0.3387,-1.463,-0.1353
10e515243aa4f13bd882f520c20c9fafae605de2,1999,2007,1,-0.7956,0.3284,-1.439,-0.1519
10e515243aa4f13bd882f520c20c9fafae605de2,1999,2008,1,-0.903,0.3366,-1.563,-0.2433
10e515243aa4f13bd882f520c20c9fafae605de2,1999,2009,1,-1.039,0.3403,-1.706,-0.3717
10e515243aa4f13bd882f520c20c9fafae605de2,1999,2010,1,-1.275,0.3786,-2.017,-0.5334
10e515243aa4f13bd882f520c20c9fafae605de2,1999,2011,1,-1.348,0.3485,-2.031,-0.6655
10e515243aa4f13bd882f520c20c9fafae605de2,1999,2012,1,-1.59,0.3873,-2.349,-0.8311
10e515243aa4f13bd882f520c20c9fafae605de2,1999,2013,1,-1.674,0.359,-2.378,-0.9707
10e515243aa4f13bd882f520c20c9fafae605de2,1999,2014,1,-2.06,0.4827,-3.006,-1.114
