analysis,centre_winter,duration,estimate,se,lcl,ucl
8f1baf34b1a24d56da62d99f564496696b355e64,1994,5,7.854,0.04737,7.761,7.947
8f1baf34b1a24d56da62d99f564496696b355e64,1995,5,7.904,0.04515,7.816,7.993
8f1baf34b1a24d56da62d99f564496696b355e64,1996,5,7.945,0.04493,7.857,8.033
8f1baf34b1a24d56da62d99f564496696b355e64,1997,5,8.01,0.04445,7.923,8.097
8f1baf34b1a24d56da62d99f564496696b355e64,1998,5,8.046,0.04439,7.959,8.133
8f1baf34b1a24d56da62d99f564496696b355e64,1999,5,8.048,0.04422,7.962,8.135
8f1baf34b1a24d56da62d99f564496696b355e64,2000,5,8.061,0.04409,7.975,8.148
8f1baf34b1a24d56da62d99f564496696b355e64,2001,5,8.08,0.04418,7.993,8.166
8f1baf34b1a24d56da62d99f564496696b355e64,2002,5,8.059,0.04417,7.973,8.146
8f1baf34b1a24d56da62d99f564496696b355e64,2003,5,8.054,0.04405,7.968,8.141
8f1baf34b1a24d56da62d99f564496696b355e64,2004,5,8.049,0.04411,7.962,8.135
8f1baf34b1a24d56da62d99f564496696b355e64,2005,5,8.013,0.04408,7.926,8.099
8f1baf34b1a24d56da62d99f564496696b355e64,2006,5,7.953,0.04413,7.867,8.04
8f1baf34b1a24d56da62d99f564496696b355e64,2007,5,7.899,0.04437,7.812,7.986
8f1baf34b1a24d56da62d99f564496696b355e64,2008,5,7.845,0.04466,7.757,7.932
8f1baf34b1a24d56da62d99f564496696b355e64,2009,5,7.784,0.04632,7.693,7.874
8f1baf34b1a24d56da62d99f564496696b355e64,2010,5,7.732,0.0497,7.635,7.83
8f1baf34b1a24d56da62d99f564496696b355e64,2011,5,7.666,0.05258,7.563,7.769
8f1baf34b1a24d56da62d99f564496696b355e64,2012,5,7.6,0.05871,7.485,7.715
8f1baf34b1a24d56da62d99f564496696b355e64,2013,5,7.518,0.06381,7.393,7.643
8f1baf34b1a24d56da62d99f564496696b355e64,2014,5,7.444,0.06679,7.313,7.574
8f1baf34b1a24d56da62d99f564496696b355e64,2015,5,7.363,0.07053,7.225,7.501
8f1baf34b1a24d56da62d99f564496696b355e64,2016,5,7.282,0.07053,7.144,7.42
8f1baf34b1a24d56da62d99f564496696b355e64,2017,5,7.192,0.06582,7.063,7.321
8f1baf34b1a24d56da62d99f564496696b355e64,2018,5,7.11,0.06056,6.992,7.229
8f1baf34b1a24d56da62d99f564496696b355e64,2019,5,7.044,0.05445,6.937,7.151
8f1baf34b1a24d56da62d99f564496696b355e64,2020,5,6.999,0.04864,6.903,7.094
8f1baf34b1a24d56da62d99f564496696b355e64,2021,5,6.98,0.04752,6.887,7.074
8f1baf34b1a24d56da62d99f564496696b355e64,2022,5,6.972,0.04907,6.876,7.068
8f1baf34b1a24d56da62d99f564496696b355e64,1996.5,10,7.951,0.03388,7.885,8.018
8f1baf34b1a24d56da62d99f564496696b355e64,1997.5,10,7.983,0.03311,7.918,8.048
8f1baf34b1a24d56da62d99f564496696b355e64,1998.5,10,8.012,0.03295,7.948,8.077
8f1baf34b1a24d56da62d99f564496696b355e64,1999.5,10,8.035,0.03286,7.97,8.099
8f1baf34b1a24d56da62d99f564496696b355e64,2000.5,10,8.05,0.03292,7.986,8.115
8f1baf34b1a24d56da62d99f564496696b355e64,2001.5,10,8.049,0.0328,7.984,8.113
8f1baf34b1a24d56da62d99f564496696b355e64,2002.5,10,8.037,0.0327,7.973,8.101
8f1baf34b1a24d56da62d99f564496696b355e64,2003.5,10,8.017,0.03272,7.952,8.081
8f1baf34b1a24d56da62d99f564496696b355e64,2004.5,10,7.979,0.03276,7.915,8.043
8f1baf34b1a24d56da62d99f564496696b355e64,2005.5,10,7.95,0.03284,7.885,8.014
8f1baf34b1a24d56da62d99f564496696b355e64,2006.5,10,7.916,0.03354,7.85,7.982
8f1baf34b1a24d56da62d99f564496696b355e64,2007.5,10,7.873,0.03492,7.804,7.941
8f1baf34b1a24d56da62d99f564496696b355e64,2008.5,10,7.81,0.03592,7.739,7.88
8f1baf34b1a24d56da62d99f564496696b355e64,2009.5,10,7.749,0.03834,7.674,7.825
8f1baf34b1a24d56da62d99f564496696b355e64,2010.5,10,7.682,0.04085,7.602,7.762
8f1baf34b1a24d56da62d99f564496696b355e64,2011.5,10,7.614,0.04335,7.529,7.698
8f1baf34b1a24d56da62d99f564496696b355e64,2012.5,10,7.548,0.04585,7.458,7.637
8f1baf34b1a24d56da62d99f564496696b355e64,2013.5,10,7.474,0.04708,7.382,7.566
8f1baf34b1a24d56da62d99f564496696b355e64,2014.5,10,7.396,0.04763,7.303,7.489
8f1baf34b1a24d56da62d99f564496696b355e64,2015.5,10,7.314,0.04756,7.221,7.408
8f1baf34b1a24d56da62d99f564496696b355e64,2016.5,10,7.244,0.04654,7.152,7.335
8f1baf34b1a24d56da62d99f564496696b355e64,2017.5,10,7.181,0.0456,7.091,7.27
8f1baf34b1a24d56da62d99f564496696b355e64,2018.5,10,7.131,0.04422,7.045,7.218
8f1baf34b1a24d56da62d99f564496696b355e64,2019.5,10,7.082,0.04235,6.999,7.165
b988eb2740d6ad7693e0d2f66960a81e413dc971,1994,5,8.282,0.09748,8.091,8.473
b988eb2740d6ad7693e0d2f66960a81e413dc971,1995,5,8.343,0.08989,8.167,8.52
b988eb2740d6ad7693e0d2f66960a81e413dc971,1996,5,8.402,0.08704,8.231,8.573
b988eb2740d6ad7693e0d2f66960a81e413dc971,1997,5,8.486,0.0855,8.319,8.654
b988eb2740d6ad7693e0d2f66960a81e413dc971,1998,5,8.538,0.08659,8.368,8.707
b988eb2740d6ad7693e0d2f66960a81e413dc971,1999,5,8.543,0.08506,8.376,8.71
b988eb2740d6ad7693e0d2f66960a81e413dc971,2000,5,8.536,0.08455,8.37,8.702
b988eb2740d6ad7693e0d2f66960a81e413dc971,2001,5,8.542,0.08534,8.375,8.71
b988eb2740d6ad7693e0d2f66960a81e413dc971,2002,5,8.504,0.08406,8.34,8.669
