analysis,centre_winter,duration,estimate,se,lcl,ucl
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2004.5,10,-0.07578,0.02956,-0.1337,-0.01785
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2005.5,10,-0.1043,0.02973,-0.1626,-0.04605
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2006.5,10,-0.1123,0.03038,-0.1718,-0.05275
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2007.5,10,-0.1104,0.02986,-0.1689,-0.05189
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2008.5,10,-0.1283,0.03008,-0.1873,-0.06937
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2009.5,10,-0.1201,0.02937,-0.1777,-0.06255
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2010.5,10,-0.09256,0.02869,-0.1488,-0.03633
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2011.5,10,-0.07624,0.02992,-0.1349,-0.01759
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2012.5,10,-0.03793,0.03178,-0.1002,0.02436
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2013.5,10,-0.02238,0.03252,-0.08613,0.04136
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2014.5,10,-0.02782,0.03235,-0.09122,0.03559
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2015.5,10,-0.06093,0.03523,-0.13,0.008134
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2016.5,10,-0.05449,0.03404,-0.1212,0.01223
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2017.5,10,-0.02517,0.03171,-0.08732,0.03699
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2018.5,10,-0.00932,0.03133,-0.07072,0.05208
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2019.5,10,0.02479,0.03244,-0.03878,0.08837
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2005.5,12,-0.1168,0.02439,-0.1646,-0.06897
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2006.5,12,-0.1137,0.02332,-0.1595,-0.06802
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2007.5,12,-0.1045,0.02353,-0.1506,-0.05839
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2008.5,12,-0.09128,0.02317,-0.1367,-0.04587
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2009.5,12,-0.08255,0.02261,-0.1269,-0.03823
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2010.5,12,-0.08372,0.02319,-0.1292,-0.03827
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2011.5,12,-0.08314,0.02354,-0.1293,-0.037
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2012.5,12,-0.08006,0.02414,-0.1274,-0.03275
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2013.5,12,-0.05604,0.02488,-0.1048,-0.007271
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2014.5,12,-0.04784,0.02597,-0.09875,0.003071
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2015.5,12,-0.02564,0.0252,-0.07503,0.02375
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2016.5,12,-0.01493,0.02459,-0.06313,0.03327
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2017.5,12,-0.009879,0.02457,-0.05803,0.03827
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2018.5,12,0.007405,0.02467,-0.04094,0.05575
633b9c069ee8f274b39d25d32dcf2a5bcf5aed6e,2012,25,-0.05507,0.008433,-0.07159,-0.03854
c538c19fe7cd966017a948025f6182ffb8b953d5,2004.5,10,-0.07183,0.03049,-0.1316,-0.01207
c538c19fe7cd966017a948025f6182ffb8b953d5,2005.5,10,-0.08809,0.03163,-0.1501,-0.02608
c538c19fe7cd966017a948025f6182ffb8b953d5,2006.5,10,-0.09412,0.03142,-0.1557,-0.03253
c538c19fe7cd966017a948025f6182ffb8b953d5,2007.5,10,-0.08776,0.03009,-0.1467,-0.02878
c538c19fe7cd966017a948025f6182ffb8b953d5,2008.5,10,-0.09145,0.03116,-0.1525,-0.03038
c538c19fe7cd966017a948025f6182ffb8b953d5,2009.5,10,-0.08616,0.03069,-0.1463,-0.026
c538c19fe7cd966017a948025f6182ffb8b953d5,2010.5,10,-0.06163,0.02684,-0.1142,-0.009029
c538c19fe7cd966017a948025f6182ffb8b953d5,2011.5,10,-0.03579,0.02924,-0.09311,0.02152
c538c19fe7cd966017a948025f6182ffb8b953d5,2012.5,10,-0.02131,0.03339,-0.08675,0.04413
c538c19fe7cd966017a948025f6182ffb8b953d5,2013.5,10,-0.02068,0.03434,-0.08799,0.04663
c538c19fe7cd966017a948025f6182ffb8b953d5,2014.5,10,-0.02113,0.03283,-0.08548,0.04323
c538c19fe7cd966017a948025f6182ffb8b953d5,2015.5,10,-0.0407,0.03354,-0.1064,0.02504
c538c19fe7cd966017a948025f6182ffb8b953d5,2016.5,10,-0.04352,0.03313,-0.1085,0.02141
c538c19fe7cd966017a948025f6182ffb8b953d5,2017.5,10,-0.03711,0.03112,-0.0981,0.02389
c538c19fe7cd966017a948025f6182ffb8b953d5,2018.5,10,-0.03331,0.03251,-0.09703,0.03042
c538c19fe7cd966017a948025f6182ffb8b953d5,2019.5,10,-0.007935,0.03084,-0.06839,0.05252
c538c19fe7cd966017a948025f6182ffb8b953d5,2005.5,12,-0.087,0.02686,-0.1396,-0.03435
c538c19fe7cd966017a948025f6182ffb8b953d5,2006.5,12,-0.09119,0.02673,-0.1436,-0.0388
c538c19fe7cd966017a948025f6182ffb8b953d5,2007.5,12,-0.09006,0.02675,-0.1425,-0.03763
c538c19fe7cd966017a948025f6182ffb8b953d5,2008.5,12,-0.07518,0.02379,-0.1218,-0.02855
c538c19fe7cd966017a948025f6182ffb8b953d5,2009.5,12,-0.05729,0.02159,-0.09961,-0.01497
c538c19fe7cd966017a948025f6182ffb8b953d5,2010.5,12,-0.05154,0.02171,-0.09409,-0.008988
c538c19fe7cd966017a948025f6182ffb8b953d5,2011.5,12,-0.05407,0.02315,-0.09945,-0.008695
c538c19fe7cd966017a948025f6182ffb8b953d5,2012.5,12,-0.04703,0.02533,-0.09668,0.002624
c538c19fe7cd966017a948025f6182ffb8b953d5,2013.5,12,-0.03435,0.02649,-0.08626,0.01756
c538c19fe7cd966017a948025f6182ffb8b953d5,2014.5,12,-0.0357,0.02672,-0.08806,0.01667
c538c19fe7cd966017a948025f6182ffb8b953d5,2015.5,12,-0.03036,0.02516,-0.07968,0.01896
c538c19fe7cd966017a948025f6182ffb8b953d5,2016.5,12,-0.0253,0.02417,-0.07267,0.02207
c538c19fe7cd966017a948025f6182ffb8b953d5,2017.5,12,-0.02092,0.02443,-0.0688,0.02696
c538c19fe7cd966017a948025f6182ffb8b953d5,2018.5,12,-0.00835,0.02384,-0.05508,0.03838
c538c19fe7cd966017a948025f6182ffb8b953d5,2012,25,-0.04564,0.009462,-0.06419,-0.02709
