winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2000,March,64,64,64,64,64,64,64,64,64,be4edff88a8736a95f434a67b1174bffd49e3c43
2001,March,36,36,36,36,36,36,36,36,36,be4edff88a8736a95f434a67b1174bffd49e3c43
2001,December,1,1,1,1,1,1,1,1,1,be4edff88a8736a95f434a67b1174bffd49e3c43
2002,March,18,18,18,18,18,18,18,18,18,be4edff88a8736a95f434a67b1174bffd49e3c43
2002,October,2,2,2,2,2,2,2,2,2,be4edff88a8736a95f434a67b1174bffd49e3c43
2002,November,1,1,1,1,1,1,1,1,1,be4edff88a8736a95f434a67b1174bffd49e3c43
2003,March,10,10,10,10,10,10,10,10,10,be4edff88a8736a95f434a67b1174bffd49e3c43
2003,NA,1,1,1,1,1,1,1,1,1,be4edff88a8736a95f434a67b1174bffd49e3c43
2004,March,16,16,16,16,16,16,16,16,16,be4edff88a8736a95f434a67b1174bffd49e3c43
2005,March,1,1,1,1,1,1,1,1,1,be4edff88a8736a95f434a67b1174bffd49e3c43
2006,March,2,2,2,2,2,2,2,2,2,be4edff88a8736a95f434a67b1174bffd49e3c43
2007,March,13,13,13,13,13,13,13,13,13,be4edff88a8736a95f434a67b1174bffd49e3c43
2008,March,10,10,10,10,10,10,10,10,10,be4edff88a8736a95f434a67b1174bffd49e3c43
2008,December,1,1,1,1,1,1,1,1,1,be4edff88a8736a95f434a67b1174bffd49e3c43
2009,March,16,16,16,16,16,16,16,16,16,be4edff88a8736a95f434a67b1174bffd49e3c43
2010,March,5,5,5,5,5,5,5,5,5,be4edff88a8736a95f434a67b1174bffd49e3c43
2010,October,1,1,1,1,1,1,1,1,1,be4edff88a8736a95f434a67b1174bffd49e3c43
2011,October,2,2,2,2,2,2,2,2,2,be4edff88a8736a95f434a67b1174bffd49e3c43
2012,March,2,2,2,2,2,2,2,2,2,be4edff88a8736a95f434a67b1174bffd49e3c43
2013,January,6,6,6,6,6,6,6,6,6,be4edff88a8736a95f434a67b1174bffd49e3c43
2013,March,6,6,6,6,6,6,6,6,6,be4edff88a8736a95f434a67b1174bffd49e3c43
2014,March,8,8,8,8,8,8,8,8,8,be4edff88a8736a95f434a67b1174bffd49e3c43
2014,NA,1,1,1,1,1,1,1,1,1,be4edff88a8736a95f434a67b1174bffd49e3c43
2015,NA,1,1,1,1,1,1,1,1,1,be4edff88a8736a95f434a67b1174bffd49e3c43
2016,March,2,2,2,2,2,2,2,2,2,be4edff88a8736a95f434a67b1174bffd49e3c43
2017,January,1,1,1,1,1,1,1,1,1,be4edff88a8736a95f434a67b1174bffd49e3c43
2017,October,8,8,8,8,8,8,8,8,8,be4edff88a8736a95f434a67b1174bffd49e3c43
2017,December,3,3,3,3,3,3,3,3,3,be4edff88a8736a95f434a67b1174bffd49e3c43
2018,March,7,7,7,7,7,7,7,7,7,be4edff88a8736a95f434a67b1174bffd49e3c43
2018,NA,1,1,1,1,1,1,1,1,1,be4edff88a8736a95f434a67b1174bffd49e3c43
