analysis,winter,estimate,se,lcl,ucl
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2000,8.425,0.1433,8.144,8.706
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2001,8.347,0.105,8.141,8.553
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2002,8.288,0.09535,8.101,8.474
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2003,8.249,0.08985,8.073,8.425
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2004,8.223,0.0851,8.056,8.39
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2005,8.2,0.08327,8.037,8.363
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2006,8.178,0.08293,8.015,8.341
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2007,8.141,0.08345,7.978,8.305
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2008,8.108,0.08718,7.937,8.279
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2009,8.082,0.09098,7.904,8.26
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2010,8.062,0.09392,7.878,8.246
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2011,8.044,0.09656,7.855,8.233
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2012,8.031,0.09649,7.842,8.22
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2013,8.016,0.09593,7.828,8.204
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2014,8,0.09925,7.806,8.195
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2015,7.993,0.1008,7.795,8.19
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2016,7.995,0.09867,7.801,8.188
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2017,8,0.09747,7.809,8.191
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2018,8.009,0.1011,7.811,8.207
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2019,8.008,0.11,7.792,8.223
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2020,7.989,0.1159,7.762,8.216
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2021,7.947,0.1138,7.724,8.17
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2022,7.876,0.1078,7.664,8.087
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2023,7.787,0.133,7.527,8.048
1f1cdbec9a5d901dff12b448f2ad55f49127c415,2024,7.686,0.2009,7.293,8.08
8a97dec152e4e0d0d1b00c7dcf0014c8b177f11d,2000,9.118,0.2197,8.687,9.548
8a97dec152e4e0d0d1b00c7dcf0014c8b177f11d,2001,9.03,0.1837,8.67,9.39
8a97dec152e4e0d0d1b00c7dcf0014c8b177f11d,2002,8.997,0.1762,8.652,9.343
8a97dec152e4e0d0d1b00c7dcf0014c8b177f11d,2003,8.997,0.1715,8.661,9.333
8a97dec152e4e0d0d1b00c7dcf0014c8b177f11d,2004,9.003,0.1753,8.659,9.346
8a97dec152e4e0d0d1b00c7dcf0014c8b177f11d,2005,9.007,0.1911,8.632,9.381
8a97dec152e4e0d0d1b00c7dcf0014c8b177f11d,2006,9.22,0.25,8.73,9.71
8a97dec152e4e0d0d1b00c7dcf0014c8b177f11d,2007,8.994,0.1689,8.663,9.325
