winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,70,60,61,65,66,72.35,76.2,84.2,104,53c1b2081d46379ac2a2c7faef852ac84c5b0821
1993,93,89,89,89,90,95,100,108,118,53c1b2081d46379ac2a2c7faef852ac84c5b0821
1994,117,101,105,109.8,114.6,121.4,126,137.1,155,53c1b2081d46379ac2a2c7faef852ac84c5b0821
1995,132,119,122,125.8,129,136,142,157.1,168,53c1b2081d46379ac2a2c7faef852ac84c5b0821
1996,173,159,162,166,169,177.4,183,193,248,53c1b2081d46379ac2a2c7faef852ac84c5b0821
1997,81,75,75,76,78,83,86,93.05,113,53c1b2081d46379ac2a2c7faef852ac84c5b0821
1998,88.5,84,84,85,86.65,91,94,104,114,53c1b2081d46379ac2a2c7faef852ac84c5b0821
1999,83,82,82,82,82,84,85.2,88.05,93,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2000,174,167,168,169,172,176,179,183.1,199,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2001,107,93,96.95,100.8,103.6,109.4,115,127,165,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2002,126,123,123,123,124,127,129,132.1,136,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2003,171,169,169,169,170,174.4,181,189,204,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2004,125.5,120,120,122,124,128,132.2,141,150,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2005,142,136,136,137.8,140,145,150,161.1,171,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2006,148,135,139,143,144.6,152,160.4,178,210,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2007,132,124,125,127,129,136,140.2,147,165,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2008,156,147,148,151,154,159,165.2,176,190,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2009,135,121,124,129.8,131,139.4,144,165,173,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2010,93,89,89,90,91,94,98.2,101,116,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2011,107,106,106,106,106,108,110,114,123,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2012,103,75,81.95,87,93.65,110.1,127,159.2,215,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2013,98.5,91,92.95,95,97,101,104,110.1,123,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2014,158,123,133,140,150.6,167,176.2,202.3,302,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2015,99,82,85,89.8,94,106,120,157,221,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2016,134.5,104,113,120,127,148,162,186,231,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2017,127,91,101.9,114,121,135.4,157,187.5,281,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2018,108,102,103,104.8,106,109.4,112,118,125,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2019,140,137,137,137,139,144,147,162,173,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2020,157,143,147,151,154,160,165,173,193,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2021,125,124,124,124,124.6,126,127.2,134,138,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2022,138,132,133,135,136,139,140.2,144,151,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2023,146.5,129,133,138.8,143,151.4,155.2,169,182,53c1b2081d46379ac2a2c7faef852ac84c5b0821
2024,129,122,123,125,126,132,134,138,150,53c1b2081d46379ac2a2c7faef852ac84c5b0821
